Rk,Date,Tm,Opp,Rslt,IP,H,R,ER,BB,SO,HR,UER,Pit,Str,IR,IS,BF,AB,2B,3B,IBB,HBP,SH,SF,GDP,SB,CS,PO,BK,WP,ERA,WPA,RE24,aLI,#,Attendance,GmLen
31,2018-05-13,HOU,TEX,W 6-1,9.0,6,1,1,1,12,1,0,141,92,2,0,34,33,1,0,0,0,0,0,0,0,0,0,0,0,1.00,0.339,3.319,.601,4,39405,172
32,2018-05-13,KCR,CLE,L 2-11,8.0,15,11,11,6,6,3,0,175,106,1,0,45,38,3,0,0,1,0,0,1,1,0,0,0,1,12.38,-0.337,-6.517,.426,3,22105,174
33,2018-05-13,LAD,CIN,L 3-5,9.0,9,5,4,6,7,2,1,144,92,0,0,43,36,1,0,1,0,1,0,1,4,0,0,0,0,4.00,-0.173,-0.491,.911,4,44787,175
34,2018-05-13,MIL,COL,W 7-3,9.0,6,3,3,3,15,2,0,160,102,2,0,37,34,0,0,0,0,0,0,0,0,0,0,0,0,3.00,0.280,2.352,.630,5,40453,217
35,2018-05-13,MIN,LAA,L 1-2,8.1,7,2,2,5,8,0,0,139,85,2,0,37,30,1,0,0,1,1,0,1,1,0,0,0,1,2.16,0.003,2.032,1.575,5,38029,208
36,2018-05-13,NYM,PHI,L 2-4,8.0,8,4,4,7,7,2,0,163,101,0,0,37,29,2,0,0,0,1,0,2,0,0,0,0,0,4.50,-0.166,-0.035,1.249,5,34091,199
37,2018-05-13,NYY,OAK,W 6-2,9.0,8,2,2,3,12,1,0,161,105,0,0,38,35,0,0,0,0,0,0,0,0,0,0,0,0,2.00,0.306,2.943,.813,4,40538,187
38,2018-05-13,OAK,NYY,L 2-6,8.0,12,6,6,4,6,1,0,163,94,0,0,39,35,3,0,0,0,0,0,1,2,0,0,0,2,6.75,-0.194,-1.606,.490,3,40538,187
39,2018-05-13,PHI,NYM,W 4-2,9.0,11,2,2,3,8,1,0,142,93,1,0,38,34,1,0,0,1,0,0,2,0,1,0,0,0,2.00,0.334,2.460,1.415,5,34091,199
40,2018-05-13,PIT,SFG,L 0-5,9.0,13,5,5,1,7,2,0,145,99,2,2,40,39,3,0,0,0,0,0,1,0,0,0,0,0,5.00,-0.149,-0.399,.726,3,22649,184
41,2018-05-13,SDP,STL,W 5-3,9.0,6,3,3,3,12,1,0,129,81,0,0,35,31,0,1,0,1,0,0,2,1,0,0,0,1,3.00,0.340,1.368,1.356,2,28183,167
42,2018-05-13,SEA,DET,L 4-5,8.0,10,5,5,0,4,1,0,145,101,0,0,35,34,1,0,0,1,0,0,0,1,0,0,0,0,5.62,-0.357,-1.999,1.151,4,24718,177
43,2018-05-13,SFG,PIT,W 5-0,9.0,7,0,0,5,11,0,0,150,95,0,0,38,33,4,0,1,0,0,0,1,0,0,0,0,1,0.00,0.351,4.601,.815,4,22649,184
44,2018-05-13,STL,SDP,L 3-5,8.0,8,5,5,6,9,0,0,159,93,3,1,37,28,2,0,0,0,1,2,2,1,0,0,0,0,5.62,-0.161,-1.117,.944,4,28183,167
45,2018-05-13,TBR,BAL,L 1-17,8.0,19,17,17,5,5,4,0,194,117,4,3,49,44,3,1,0,0,0,0,0,0,0,0,0,2,19.12,-0.317,-12.857,.346,5,25257,181
46,2018-05-13,TEX,HOU,L 1-6,8.0,9,6,5,4,9,2,1,162,105,3,1,40,35,2,0,0,0,0,1,0,0,0,0,0,0,5.62,-0.161,-2.162,.564,4,39405,172
47,2018-05-13,TOR,BOS,L 3-5,9.0,8,5,5,5,7,1,0,167,98,3,2,38,33,1,0,0,0,0,0,1,4,1,0,0,0,5.00,-0.095,-0.006,.783,4,37888,222
48,2018-05-13,WSN,ARI,W 6-4,9.0,9,4,4,1,12,0,0,132,96,2,0,37,35,2,1,0,0,1,0,0,1,0,0,0,0,4.00,0.121,1.123,1.541,6,31906,189
1,2018-05-12,LAA,MIN,L 3-5,12.0,10,5,5,4,9,0,0,176,112,0,0,46,41,3,0,1,0,0,1,2,0,1,0,0,0,3.75,0.123,1.081,1.282,5,40117,261
2,2018-05-12,ARI,WSN,L 1-2,9.0,7,2,2,7,7,0,0,167,102,2,0,40,32,1,0,0,0,1,0,0,0,1,1,0,0,2.00,0.279,3.123,1.227,5,29428,197
3,2018-05-12,ATL,MIA,W 10-5,9.0,10,5,1,2,10,0,4,157,103,1,0,39,37,4,0,0,0,0,0,1,0,0,0,0,0,1.00,-0.118,-0.682,1.271,6,12383,206
4,2018-05-12,BOS,TOR,W 5-2,9.0,7,2,2,3,12,1,0,139,87,0,0,36,33,1,0,0,0,0,0,1,1,0,0,0,0,2.00,0.411,2.994,1.170,5,37588,191
5,2018-05-12,CHC,CHW,W 8-4,9.0,8,4,4,4,9,1,0,173,110,4,0,39,35,2,0,0,0,0,0,1,0,0,0,0,0,4.00,0.201,0.743,.570,5,41099,200
6,2018-05-12,CHW,CHC,L 4-8,8.0,9,8,8,8,4,2,0,147,79,2,1,41,33,0,1,0,0,0,0,0,2,0,0,0,0,9.00,-0.299,-3.786,.328,4,41099,200
7,2018-05-12,CIN,LAD,W 5-3,9.0,12,3,3,3,7,1,0,136,86,2,0,41,37,2,0,1,0,1,0,0,0,0,0,0,1,3.00,0.225,1.510,1.287,4,49911,197
8,2018-05-12,CLE,KCR,W 6-2,9.0,8,2,2,0,7,0,0,128,90,1,0,33,33,3,0,0,0,0,0,1,0,0,0,0,1,2.00,0.285,3.043,1.010,3,24587,151
9,2018-05-12,COL,MIL,W 4-0,9.0,5,0,0,4,10,0,0,131,83,4,0,36,32,1,0,0,0,0,0,1,0,0,0,0,0,0.00,0.392,5.352,.872,5,35408,167
10,2018-05-12,MIA,ATL,L 5-10,9.0,12,10,9,6,7,4,1,169,104,3,1,43,37,0,1,0,0,0,0,1,1,0,0,0,0,9.00,-0.618,-5.681,1.141,5,12383,206
11,2018-05-12,HOU,TEX,W 6-1,9.0,4,1,1,0,16,1,0,132,84,0,0,31,31,2,0,0,0,0,0,0,0,0,0,0,0,1.00,0.364,3.319,.840,3,36482,157
12,2018-05-12,KCR,CLE,L 2-6,8.0,9,6,5,3,9,2,1,141,87,5,0,36,33,3,0,1,0,0,0,0,0,0,0,0,2,5.62,-0.215,-1.516,.779,3,24587,151
13,2018-05-12,LAD,CIN,L 3-5,9.0,13,5,5,0,10,1,0,162,118,2,1,41,40,2,0,0,0,1,0,0,0,0,0,0,0,5.00,-0.277,-0.490,.955,5,49911,197
14,2018-05-12,MIL,COL,L 0-4,8.0,9,4,4,2,5,2,0,120,78,0,0,35,33,3,1,0,0,0,0,0,0,0,0,0,0,4.50,-0.109,0.756,.428,3,35408,167
15,2018-05-12,MIN,LAA,W 5-3,12.0,7,3,3,12,10,0,0,209,116,0,0,55,41,1,1,2,1,0,1,1,1,0,0,0,1,2.25,0.623,3.081,2.006,6,40117,261
16,2018-05-12,NYY,OAK,W 7-6,11.0,6,6,6,8,11,1,0,169,99,0,0,44,35,0,0,0,0,0,1,1,0,0,0,0,1,4.91,0.346,0.041,1.762,6,41859,255
17,2018-05-12,OAK,NYY,L 6-7,10.2,11,7,7,9,10,3,0,213,116,4,2,52,43,0,0,0,0,0,0,0,3,0,0,0,0,5.91,-0.154,-1.422,1.696,7,41859,255
18,2018-05-12,PIT,SFG,W 6-5,9.0,10,5,5,5,8,2,0,161,96,1,0,41,35,4,0,0,0,0,1,0,0,1,0,0,0,5.00,0.041,-0.400,1.523,4,27502,194
19,2018-05-12,SDP,STL,W 2-1,13.0,9,1,1,4,14,0,0,204,125,0,0,52,47,1,0,0,1,0,0,1,0,0,0,0,0,0.69,1.056,5.309,1.763,6,32715,256
20,2018-05-12,SFG,PIT,L 5-6,8.0,8,6,6,4,9,2,0,140,87,1,0,37,29,1,0,1,2,1,1,0,2,1,0,0,0,6.75,-0.459,-1.911,1.332,3,27502,194
21,2018-05-12,STL,SDP,L 1-2,12.0,7,2,2,5,14,0,0,196,115,4,1,47,42,1,0,0,0,0,0,1,1,0,0,0,0,1.50,0.555,2.343,1.660,8,32715,256
22,2018-05-12,TEX,HOU,L 1-6,8.0,8,6,5,3,4,3,1,132,74,2,1,34,30,3,0,0,1,0,0,2,1,0,0,0,0,5.62,-0.137,-2.162,.674,3,36482,157
23,2018-05-12,TOR,BOS,L 2-5,9.0,12,5,5,1,11,1,0,155,107,3,0,39,38,4,0,0,0,0,0,0,0,1,0,0,0,5.00,-0.088,-0.007,.667,5,37588,191
24,2018-05-12,WSN,ARI,W 2-1,9.0,5,1,1,2,12,0,0,145,94,0,0,36,32,1,0,0,1,1,0,0,0,0,0,0,1,1.00,0.779,4.122,1.771,4,29428,197
25,2018-05-12 (1),BAL,TBR,W 6-3,9.0,8,3,3,0,5,1,0,120,85,1,0,35,35,0,0,0,0,0,0,0,1,0,0,0,0,3.00,0.167,1.660,.891,3,,147
26,2018-05-12 (1),DET,SEA,W 4-3,9.0,4,3,3,5,7,0,0,136,85,2,2,37,30,2,0,0,1,0,1,0,0,0,0,0,0,3.00,0.430,1.894,1.751,4,,155
27,2018-05-12 (1),SEA,DET,L 3-4,8.0,12,4,4,2,5,1,0,121,81,0,0,34,32,2,0,0,0,0,0,3,0,1,1,0,0,4.50,-0.071,0.349,1.005,2,,155
28,2018-05-12 (1),TBR,BAL,L 3-6,8.0,7,6,6,3,5,3,0,115,69,0,0,34,31,2,0,0,0,0,0,0,2,0,0,0,1,6.75,-0.333,-1.857,.675,2,,147
29,2018-05-12 (2),BAL,TBR,L 3-10,9.0,12,10,9,7,7,2,1,159,93,3,0,45,36,2,2,0,1,0,1,3,1,0,0,0,1,9.00,-0.363,-5.339,.656,4,24534,178
30,2018-05-12 (2),DET,SEA,L 5-9,9.0,12,9,9,5,8,2,0,191,115,3,0,43,36,3,0,0,2,0,0,2,1,0,0,0,1,9.00,-0.528,-4.106,.903,7,25506,215
31,2018-05-12 (2),SEA,DET,W 9-5,9.0,9,5,5,2,11,1,0,153,106,0,0,40,36,2,0,0,2,0,0,0,1,0,0,0,1,5.00,-0.027,-0.106,.874,5,25506,215
32,2018-05-12 (2),TBR,BAL,W 10-3,9.0,4,3,3,2,7,1,0,127,82,2,1,32,30,2,0,0,0,0,0,0,0,0,0,0,0,3.00,0.138,1.661,.934,7,24534,178
